x,y
0.104,0.403614458
0.092,0.259036145
0.557333333,0.426
0.078,0.218666667
0.086,0.130666667
0.108,0.274666667
0.092,0.229333333
0.194,0.434666667
0.336,0.885333333
0.11,0.152
0.038,0.075075075
0.232,0.477333333
0.158,0.482666667
0.222,0.6
0.412,0.778666667
0.608796296,0.936
0.242,0.530666667
0.182,0.829341317
0.382,0.912
0.168,0.434666667
0.074,0.216
0.062,0.117333333
0.06,0.224
0.052,0.24
0.05,0.216
0.026,0.165333333
0.050666667,0.066
0.448,0.773333333
0.686,0.757333333
0.088,0.122666667
0.245833333,0.438888889
0.129166667,0.271875
0.141666667,0.253125
0.075,0.125
0.129166667,0.315625
0.145833333,0.31875
0.104166667,0.3375
0.078,0.546666667
0.096,0.162666667
0.6,0.719806763
0.516,0.813513514
0.13,0.602409639
0.384,0.831325301
0.19,0.646551724
0.301204819,0.618
0.490963855,0.772
0.17,0.293333333
0.1,0.178666667
0.108,0.109333333
0.358,0.669333333
0.356,0.517333333
0.092,0.293333333
0.212,0.328
0.174,0.362666667
0.31,0.616
0.308,0.397333333
0.124,0.651428571
0.648648649,0.714
0.972972973,0.618
0.056,0.261333333
0.464,0.701333333
0.074,0.321321321
0.06,0.345345345
0.028,0.222222222
0.076,0.456456456
0.05,0.36036036
0.086,0.471471471
0.088,0.471471471
0.076,0.558558559
0.088,0.648648649
0.136,0.603603604
0.138,0.624624625
0.146,0.624624625
0.252,0.568
0.228,0.554666667
0.222,0.536
0.05,0.101796407
0.229765013,0.510416667
0.266871166,0.48
0.288,0.594666667
0.26,0.864
0.066,0.168
0.044,0.170666667
0.042,0.090666667
0.052,0.104
0.044,0.088
0.998,0.976
0.04,0.183183183
0.778443114,0.744
0.170666667,0.306
0.245333333,0.46
0.048,0.054
0.12,0.49689441
0.114,0.305135952
0.13,0.320241692
0.174,0.684684685
0.362,0.741741742
0.134,0.657657658
0.548192771,0.59
0.792168675,0.73
0.174698795,0.214
0.356,0.888
0.424,0.912
0.268,0.677333333
0.22,0.49197861
0.14,0.481283422
0.082,0.307486631
0.322666667,0.708
0.114666667,0.154
0.056,0.154
0.072,0.14
0.034666667,0.052
0.034666667,0.064
0.284,0.605333333
0.132,0.314666667
0.524,0.52
0.37,0.533333333
0.304,0.44
0.208,0.368
0.238,0.333333333
0.148,0.409638554
0.164,0.436746988
0.484,0.997333333
0.086,0.376
0.064,0.485333333
0.06,0.219219219
0.096,0.195195195
0.056,0.186186186
0.05,0.267267267
0.07,0.213213213
0.032,0.105105105
0.092,0.152
0.076,0.106666667
0.158,0.365333333
0.578666667,0.712
0.517333333,0.78
0.306,0.66966967
0.188,0.441441441
0.114,0.363363363
0.128,0.297297297
0.078,0.156156156
0.084,0.264264264
0.11,0.135135135
0.068,0.051051051
0.062,0.069069069
0.068,0.12012012
0.328,0.615615616
0.22,0.282282282
0.108,0.252252252
0.056,0.159159159
0.182,0.226666667
0.204,0.205333333
0.204,0.16
0.184,0.197333333
0.176,0.210666667
0.172,0.141333333
0.204,0.208
0.196,0.213333333
0.2,0.2
0.222,0.264
0.194,0.237333333
0.27,0.237333333
0.222,0.253333333
0.344,0.6875
0.674,0.941333333
0.104,0.285285285
0.112,0.291291291
0.092,0.156156156
0.114,0.234234234
0.086,0.237237237
0.801801802,0.764
0.104,0.142
0.437333333,0.426
0.205333333,0.51
0.202666667,0.688
0.208,0.732
0.048,0.214511041
0.036,0.205047319
0.034,0.242902208
0.076,0.258675079
0.09,0.299684543
0.22,0.757333333
0.194,0.597333333
0.168,0.645333333
0.168,0.573333333
0.086,0.234666667
0.216,0.346666667
0.132,0.597333333
0.058,0.253333333
0.092,0.213333333
0.428,0.774535809
0.55,0.782493369
0.156,0.805333333
0.116,0.568
0.262,0.461333333
0.178,0.653333333
0.12,0.658666667
0.136,0.642666667
0.204,0.605333333
0.066,0.285333333
0.242,0.864864865
0.858,0.774774775
0.872340426,0.596
0.498480243,0.544
0.5,0.822988506
0.192,0.919786096
0.186,0.778074866
0.286,0.826203209
0.192,0.852941176
0.174,0.852941176
0.192,0.823529412
0.21,0.930481283
0.168,0.455621302
0.941333333,0.996
0.55,0.605421687
0.248,0.641566265
0.178,0.341333333
0.192,0.397333333
0.298,0.730666667
0.128,0.301333333
0.268,0.706666667
0.076,0.286144578
0.056,0.25
0.08,0.307228916
0.074,0.18373494
0.186,0.802666667
0.274,0.624624625
0.133333333,0.122
0.054,0.221333333
0.058,0.184
0.036,0.189333333
0.13,0.512
0.038,0.136
0.036,0.138666667
0.18,0.544
0.712,0.736
0.54,0.489795918
0.114,0.322666667
0.178666667,0.258
0.642642643,0.45
0.315315315,0.404
0.694,0.965333333
0.422,0.900900901
0.600574713,0.874
0.312,0.704
0.08,0.22
0.104,0.234
0.250666667,0.392
0.458666667,0.708
0.581333333,0.822
0.048,0.096
0.584,0.346666667
0.15,0.750750751
0.626666667,0.778
0.454,0.673652695
0.304,0.491017964
0.256,0.709333333
0.156,0.408
0.106,0.413333333
0.108,0.402666667
0.242,0.413333333
0.462,0.870870871
0.628,0.825825826
0.114,0.144475921
0.12,0.198300283
0.294,0.728
0.242,0.44
0.77,0.993975904
0.22,0.765765766
0.136,0.648
0.948,0.973684211
0.154,0.490666667
0.296,0.768
0.264,0.645333333
0.108,0.101333333
0.308,0.69924812
0.879807692,0.682
0.296,0.333333333
0.062,0.165333333
0.056,0.104
0.09,0.416666667
0.42,0.810666667
0.38,0.429333333
0.945945946,0.97
0.098,0.34828496
0.904,0.968
0.08,0.112
0.085333333,0.084
0.096,0.09
0.090666667,0.084
0.117333333,0.088
0.090666667,0.092
0.104,0.108
0.088,0.07
0.532,0.482666667
0.242,0.322666667
0.236,0.261333333
0.15,0.197333333
0.14,0.336
0.354,0.808
0.09,0.138666667
0.102,0.189333333
0.066,0.125333333
0.234,0.704
0.538235294,0.752
0.464705882,0.69
0.098,0.370666667
0.114,0.408
0.14,0.357333333
0.054,0.285333333
0.04,0.149333333
0.054,0.157333333
0.042,0.154666667
0.036,0.098666667
0.226,0.584
0.034,0.122666667
0.066,0.333333333
0.048,0.106666667
0.048,0.202666667
0.382,0.85458613
0.106,0.317673378
0.078,0.322147651
0.462264151,0.489583333
0.148,0.450666667
0.741333333,0.968
0.224,0.677333333
0.522,0.992
0.546,0.757333333
0.342342342,0.406
0.77,0.92
0.613300493,0.538
0.982758621,0.928
0.115763547,0.13
0.125615764,0.116
0.088669951,0.096
0.122,0.501333333
0.068,0.52
0.17,0.277333333
0.546,0.986666667
0.502,0.498666667
0.142,0.394666667
0.114,0.490666667
0.094,0.461333333
0.124,0.306666667
0.094,0.155223881
0.06,0.158730159
0.338,0.690666667
0.64,0.997333333
0.234375,0.527777778
0.14,0.212765957
0.128,0.395136778
0.301204819,0.446
0.268072289,0.436
0.312,0.360103627
0.194,0.346666667
0.238,0.325333333
0.206,0.461333333
0.192,0.386666667
0.284,0.570666667
0.396226415,0.491666667
0.22,0.488
0.344,0.477333333
0.326,0.517333333
0.184,0.796407186
0.312,0.736526946
0.188,0.428143713
0.34,0.640718563
0.314,0.883233533
0.164,0.45045045
0.43,0.912912913
0.19,0.696696697
0.252,0.744744745
0.452,0.957957958
0.602,0.783783784
0.2,0.301333333
0.166,0.690666667
0.31,0.661333333
0.07,0.213213213
0.08,0.48048048
0.566,0.522222222
0.37,0.433333333
0.196,0.648648649
0.21,0.777777778
0.242666667,0.676
0.506666667,0.598
0.306666667,0.642
0.386666667,0.134
0.956,0.993993994
0.33,0.98489426
0.216,0.589123867
0.160714286,0.663690476
0.158482143,0.56547619
0.32,0.525333333
0.25,0.536
0.152,0.282666667
0.182,0.242666667
0.804,0.997333333
0.442,0.805333333
0.478,0.696
0.364,0.626666667
0.124,0.555891239
0.17,0.501510574
0.378,0.80060423
0.496,0.469333333
0.422,0.792
0.101333333,0.148
0.162,0.492492492
0.31,0.765333333
0.384,0.434666667
0.296,0.357333333
0.16,0.424
0.25,0.778666667
0.090361446,0.07
0.188,0.435435435
0.184,0.498498498
0.214,0.468468468
0.15,0.453453453
0.062,0.231231231
0.828,0.8
0.304,0.581333333
0.430769231,0.858
0.603846154,0.666
0.172,0.563909774
0.268,0.994666667
0.81,0.576
0.621333333,0.962
0.149333333,0.404
0.042666667,0.162
0.037333333,0.052
0.134,0.621333333
0.082,0.64
0.13,0.650666667
0.082,0.690666667
0.152,0.832
0.2,0.866666667
0.086,0.128
0.092,0.114666667
0.136,0.56626506
0.124,0.473053892
0.104,0.45508982
0.932721713,0.85
0.374,0.93373494
0.438,0.993975904
0.562,0.723723724
0.732,0.946859903
0.472,0.836
0.381333333,0.434
0.930666667,0.67
0.2,0.672
0.276,0.504
0.3,0.648
0.398,0.696
0.25,0.696
0.058,0.130666667
0.644,0.743142145
0.494,0.733333333
0.238,0.354666667
0.262,0.301333333
0.202,0.413333333
0.096096096,0.16
0.462643678,0.92
0.236,0.629333333
0.074,0.237333333
0.048,0.090666667
0.064,0.272727273
0.074,0.300940439
0.108,0.382445141
0.208,0.586206897
0.272,0.686520376
0.65,0.7075
0.096,0.150395778
0.6,0.892
0.064,0.341333333
0.052,0.186666667
0.094,0.152
0.503144654,0.458333333
0.454,0.982532751
0.51,0.991266376
0.306,0.696
0.222,0.594666667
0.31,0.688
0.334,0.618666667
0.048,0.170289855
0.034,0.09057971
0.054,0.199275362
0.084,0.184782609
0.066,0.282608696
0.056,0.329710145
0.096,0.358695652
0.054,0.242753623
0.032,0.202898551
0.026,0.206521739
0.046,0.206521739
0.044,0.188405797
0.028,0.217391304
0.034,0.192028986
0.04,0.322463768
0.052,0.268115942
0.026,0.239130435
0.034,0.369565217
0.034,0.152173913
0.034,0.097826087
0.048,0.105072464
0.036,0.326086957
0.114,0.31884058
0.09,0.115942029
0.900900901,0.936
0.742,0.944444444
0.064,0.387387387
0.088,0.525525526
0.092,0.375375375
0.1,0.435435435
0.382,0.626666667
0.218,0.6
0.176,0.2
0.236,0.650666667
0.232,0.52
0.409638554,0.728
0.832,0.712
0.522522523,0.56
0.369369369,0.214
0.747747748,0.558
0.054,0.087087087
0.094,0.093093093
0.056,0.290666667
0.076,0.122666667
0.05,0.376
0.166,0.56626506
0.488,0.874
0.688,0.59
0.657657658,0.99
0.243902439,0.416
0.292682927,0.366
0.27,0.352
0.184,0.549333333
0.306,0.586666667
0.042,0.168674699
0.044,0.168674699
0.024,0.152
0.038,0.141333333
0.294,0.552870091
0.288,0.374251497
0.248,0.449101796
0.306,0.590909091
0.082,0.165775401
0.106,0.160427807
0.174,0.522522523
0.064,0.186666667
0.032,0.090666667
0.038,0.101333333
0.04,0.122666667
0.038,0.130666667
0.026,0.109333333
0.406,0.759668508
0.712,0.765333333
0.308,0.484042553
0.382,0.585106383
0.518,0.739361702
0.284,0.798798799
0.248,0.45045045
0.172,0.56
0.152,0.76
0.258,0.781333333
0.374,0.912
0.821333333,0.972
0.052,0.205333333
0.092,0.256684492
0.04,0.124
0.058666667,0.138
0.058666667,0.142
0.126984127,0.174
0.142,0.496
0.6,0.843843844
0.496,0.603603604
0.381333333,0.208
0.256,0.662
0.312,0.728
0.132,0.345945946
0.116,0.378378378
0.222,0.939597315
0.21,0.825503356
0.208,0.879194631
0.196,0.88590604
0.238,0.946308725
0.368,0.832
0.244,0.84
0.084705882,0.194117647
0.049411765,0.135294118
0.394,0.290666667
0.172,0.469879518
0.526,0.951807229
0.878,0.997333333
0.308,0.488
0.41,0.826666667
0.044,0.330935252
0.3,0.741333333
0.058,0.194666667
0.204,0.489489489
0.196,0.339339339
0.14,0.231231231
0.152,0.213213213
0.254,0.66966967
0.662,0.990936556
0.286,0.978851964
0.3,0.728096677
0.292,0.469333333
0.096,0.109333333
0.1,0.256
0.13,0.322666667
0.064,0.106666667
0.413333333,0.542
0.338666667,0.644
0.448,0.730666667
0.372,0.642666667
0.25,0.494974874
0.356973995,0.61
0.442080378,0.328
0.177304965,0.192
0.229314421,0.364
0.262411348,0.344
0.13,0.375375375
0.126,0.222222222
0.102,0.189189189
0.994,0.997333333
0.268686869,0.574
0.539393939,0.658
0.312,0.498489426
0.346,0.640483384
0.146,0.290030211
0.202,0.311178248
0.125333333,0.306
0.037333333,0.078
0.469333333,0.936
0.25,0.411167513
0.074666667,0.2
0.208,0.374
0.336,0.526
0.501333333,0.608
0.106666667,0.446
0.056,0.245333333
0.959459459,0.892
0.744,0.758
0.256,0.466666667
0.278,0.533333333
0.114,0.248
0.1,0.341333333
0.298,0.423423423
0.738,0.741741742
0.932,0.957957958
0.250666667,0.664
0.28,0.58
0.538666667,0.634
0.144,0.695783133
0.05,0.202666667
0.052,0.184
0.05,0.141333333
0.046,0.141333333
0.036,0.096
0.046,0.090666667
0.04,0.101333333
0.04,0.122666667
0.026,0.109333333
0.038,0.104
0.036,0.136
0.042,0.133333333
0.236,0.405333333
0.076,0.554666667
0.074,0.234666667
0.058,0.128
0.034,0.053333333
0.07,0.125333333
0.068,0.128
0.21,0.603960396
0.276,0.754950495
0.308,0.504398827
0.16,0.384164223
0.06,0.146627566
0.693693694,0.722
0.757333333,0.554
0.084,0.162666667
0.254,0.51951952
0.262,0.606606607
0.302,0.498498498
0.144,0.445333333
0.154,0.757333333
0.824,0.944
0.693333333,0.88
0.285333333,0.622
0.685333333,0.84
0.609625668,0.784
0.412,0.696
0.404,0.994666667
0.598,0.474666667
0.056,0.186666667
0.04,0.221333333
0.04,0.205333333
0.06,0.181333333
0.142,0.28
0.096,0.237333333
0.144,0.237333333
0.14,0.176
0.160427807,0.198
0.032,0.195195195
0.616,0.994029851
0.876,0.993993994
0.054,0.192
0.24,0.376
0.568,0.434
0.594666667,0.86
0.246,0.373333333
0.52,0.989333333
0.34,0.586666667
0.442,0.727040816
0.15,0.645408163
0.176,0.678571429
0.26,0.265306122
0.421333333,0.598
0.132,0.210666667
0.126,0.365333333
0.064,0.168
0.31097561,0.338
0.280487805,0.436
0.066,0.282282282
0.058,0.246246246
0.074,0.252252252
0.135321101,0.136
0.47,0.864
0.861861862,0.824
0.780780781,0.634
0.608579088,0.888
0.998,0.997333333
0.276,0.578666667
0.526,0.765333333
0.058666667,0.084
0.114666667,0.262
0.490666667,0.588
0.736,0.56
0.386,0.906666667
0.422,0.954666667
0.368,0.664
0.296,0.568
0.124,0.24
0.106,0.274666667
0.675675676,0.923847695
0.836,0.975206612
0.326,0.84
0.25,0.778666667
0.376,0.853333333
0.06,0.248
0.144,0.194666667
0.06,0.197333333
0.064,0.122666667
0.104,0.192
0.062,0.144
0.046,0.208
0.072,0.186666667
0.472,0.994666667
0.102,0.271084337
0.022,0.114666667
0.03,0.112
0.03,0.106666667
0.038,0.117333333
0.308,0.708708709
0.198,0.528358209
0.442,0.659701493
0.16,0.385074627
0.184,0.328358209
0.108,0.686567164
0.384,0.794029851
0.154,0.509333333
0.174,0.504
0.608,0.781333333
0.13,0.659638554
0.188,0.580924855
0.57,0.865951743
0.18,0.672922252
0.994,0.992
0.362,0.72
0.154,0.224
0.07,0.152
0.068,0.461333333
0.531446541,0.464583333
0.034,0.136
0.038,0.082666667
0.044,0.093333333
0.038,0.096
0.164,0.349333333
0.18,0.325333333
0.086,0.312
0.186,0.522666667
0.172,0.552
0.316,0.445333333
0.106,0.242666667
0.16,0.728
0.126,0.626666667
0.136,0.314666667
0.15,0.317333333
0.12,0.106666667
0.086,0.098666667
0.36,0.605333333
0.194,0.624
0.602,0.6
0.142,0.508982036
0.112,0.553892216
0.564,0.861333333
0.672,0.952
0.028,0.114666667
0.04,0.125333333
0.036,0.277333333
0.758,0.749333333
0.356,0.856
0.196,0.48
0.085333333,0.254
0.104,0.254
0.106,0.315315315
0.146,0.468468468
0.124,0.357357357
0.066,0.104
0.1,0.098666667
0.086,0.138666667
0.126,0.994666667
0.412,0.818666667
0.368,0.541333333
0.304,0.362666667
0.996996997,0.996
0.33,0.610666667
0.232,0.466666667
0.514,0.538666667
0.226,0.781333333
0.21,0.6
0.07,0.373333333
0.084,0.506666667
0.156,0.605333333
0.192,0.64
0.21,0.738666667
0.21,0.682119205
0.505,0.853333333
0.1,0.245333333
0.068,0.210666667
0.09,0.186666667
0.05,0.194666667
0.670658683,0.91
0.312,0.945783133
0.252,0.386666667
0.208,0.344
0.144,0.248
0.144,0.226666667
0.146,0.576
0.094,0.184
0.413333333,0.476
0.253333333,0.666
0.864,0.925373134
0.276,0.741741742
0.234,0.786786787
0.114,0.264264264
0.667647059,0.88
0.13,0.493333333
0.768,0.696
0.943113772,0.796
0.056,0.229333333
0.4,0.31
0.086,0.202666667
0.1,0.245333333
0.026,0.093093093
0.044,0.144144144
0.044,0.111111111
0.738,0.891089109
0.3,0.996941896
0.128,0.258666667
0.166,0.460843373
0.104,0.174174174
0.138,0.369369369
0.172,0.627627628
0.078,0.564564565
0.148,0.565333333
0.078,0.557333333
0.08,0.541333333
0.108,0.544
0.098,0.568
0.148,0.513513514
0.1,0.498498498
0.338,0.537537538
0.174,0.372372372
0.221982759,0.628947368
0.03,0.208
0.036,0.066666667
0.188,0.298666667
0.358,0.88
0.488,0.896
0.39,0.797333333
0.605333333,0.79
0.188,0.2
0.47,0.52
0.534,0.893333333
0.804,0.861861862
0.494505495,0.274
0.315018315,0.524
0.355311355,0.672
0.490842491,0.472
0.52014652,0.786
0.13,0.428134557
0.098,0.353562005
0.11,0.327176781
0.042,0.311345646
0.08,0.27176781
0.082,0.329815303
0.056,0.290237467
0.044,0.147147147
0.032,0.135135135
0.04,0.133333333
0.156,0.765060241
0.615615616,0.922
0.68,0.992
0.203125,0.490566038
0.770234987,0.998
0.446,0.696696697
0.528,0.705128205
0.054,0.111111111
0.04,0.128205128
0.054,0.098290598
0.044,0.13034188
0.068,0.111111111
0.032,0.113247863
0.789156627,0.906
0.602409639,0.738
0.276,0.896
0.448148148,0.805555556
0.233333333,0.638888889
0.092,0.099099099
0.07,0.328
0.082,0.333333333
0.11,0.157333333
0.068,0.221333333
0.088,0.258666667
0.068,0.125333333
0.056,0.090666667
0.062,0.077333333
0.036,0.114666667
0.064,0.154666667
0.05,0.138666667
0.052,0.226666667
0.386,0.994666667
0.244,0.482666667
0.414,0.661333333
0.272,0.741333333
0.198,0.378666667
0.266,0.512
0.314,0.322666667
0.798,0.749333333
0.28,0.600600601
0.938829787,0.922
0.216,0.408
0.06,0.181333333
0.048,0.152
0.372,0.648
0.175,0.184
0.4,0.786666667
0.975,0.65
0.427777778,0.541666667
0.51,0.810666667
0.134,0.512
0.178,0.512
0.114,0.357333333
0.118,0.269333333
0.178,0.157333333
0.094,0.261333333
0.134,0.296
0.24,0.357333333
0.194,0.482666667
0.06,0.264
0.04,0.101333333
0.056,0.098666667
0.864864865,0.83
0.036,0.122666667
0.376,0.668213457
0.536,0.773333333
0.762666667,0.98
0.234,0.462209302
0.202666667,0.386
0.146666667,0.328
0.18,0.477333333
0.654,0.725333333
0.396,0.888
0.05,0.077333333
0.84984985,0.372
0.254,0.728
0.234,0.44
0.266990291,0.391666667
0.468,0.749408983
0.06,0.144
0.142,0.099378882
0.236,0.762666667
0.048,0.165333333
0.042,0.186666667
0.042,0.168
0.74,0.984984985
0.14,0.397333333
0.142,0.701333333
0.901197605,0.814
0.222,0.693333333
0.312,0.424
0.650666667,0.478
0.248,0.682666667
0.506,0.658666667
0.402,0.453333333
0.07,0.184491979
0.052,0.144385027
0.054,0.155080214
0.444,0.891891892
0.134,0.177177177
0.216,0.587349398
0.074,0.207831325
0.168,0.325301205
0.102,0.355421687
0.056,0.313253012
0.807807808,0.672
0.168,0.610666667
0.218,0.684684685
0.092,0.36
0.304,0.632
0.232,0.373333333
0.208,0.218666667
0.349333333,0.906
0.24,0.322289157
0.108,0.346666667
0.272,0.610666667
0.236,0.653333333
0.356,0.810666667
0.426,0.786666667
0.032,0.116766467
0.03,0.119760479
0.388,0.855855856
0.582,0.897897898
0.152,0.429333333
0.058,0.231231231
0.068,0.252252252
0.088,0.204204204
0.09,0.192192192
0.238,0.597597598
0.134,0.27027027
0.354,0.780780781
0.086,0.285285285
0.084,0.294294294
0.713815789,0.954
0.296052632,0.364
0.0625,0.112
0.242,0.564954683
0.196,0.471299094
0.2325,0.613333333
0.3525,0.516666667
0.2125,0.636666667
0.225,0.626666667
0.066,0.074666667
0.044,0.256
0.04,0.229333333
0.046,0.229333333
0.092,0.368
0.1,0.232
0.12,0.152
0.056,0.12
0.076,0.16
0.052,0.202666667
0.078,0.24
0.062,0.224
0.078,0.304
0.078,0.304
0.028,0.309333333
0.792,0.933333333
0.444,0.741333333
0.018,0.112
0.847222222,0.997159091
0.201807229,0.42
0.052,0.176
0.286,0.234666667
0.396,0.773333333
0.32,0.712
0.45,0.605333333
0.092,0.312
0.202,0.28
0.378,0.671875
0.374,0.678125
0.248,0.65625
0.3,0.865625
0.056,0.058666667
0.396,0.963963964
0.254,0.664021164
0.23,0.423280423
0.136,0.365079365
0.128,0.304232804
0.444,0.833333333
0.072,0.077333333
0.428,0.629333333
0.046,0.056
0.072,0.141333333
0.304,0.597597598
0.152083333,0.990566038
0.2125,0.446540881
0.129166667,0.528301887
0.274,0.861333333
0.828,0.928
0.172,0.737313433
0.152,0.298507463
0.042,0.232835821
0.066,0.241791045
0.736,0.809667674
0.44,0.658
0.061333333,0.132
0.156,0.709333333
0.132,0.434666667
0.164,0.426666667
0.1,0.394666667
0.126,0.237333333
0.212,0.744744745
0.2,0.552552553
0.1,0.159159159
0.286052009,0.391666667
0.134,0.489489489
0.04,0.144144144
0.53,0.619047619
0.374,0.952380952
0.292,0.394666667
0.092,0.264
0.474,0.584
0.406,0.733333333
0.07,0.304812834
0.05,0.106951872
0.27,0.544
0.184,0.272
0.034,0.069277108
0.114,0.451807229
0.04,0.125333333
0.046,0.114666667
0.226,0.365333333
0.482,0.536
0.474,0.602666667
0.198,0.306666667
0.168,0.216
0.246,0.298666667
0.062,0.106666667
0.036,0.109333333
0.036,0.205333333
0.09,0.413333333
0.052,0.256
0.07,0.138666667
0.535031847,0.702
0.996996997,0.934
0.285285285,0.36
0.294294294,0.366
0.564564565,0.736
0.452,0.779456193
0.484,0.746223565
0.066,0.320241692
0.072,0.096676737
0.438,0.989754098
0.152,0.498442368
0.466666667,0.344
0.624,0.714
0.128,0.475903614
0.384,0.52
0.351351351,0.63
0.046,0.053333333
0.042,0.053333333
0.048,0.045333333
0.046,0.085333333
0.038,0.093333333
0.38,0.914666667
0.494,0.874666667
0.320855615,0.544
0.222,0.795795796
0.08,0.309309309
0.184,0.222222222
0.068,0.342342342
0.04,0.234234234
0.054,0.219219219
0.08,0.27027027
0.986,0.826666667
0.476,0.854
0.078,0.084084084
0.552,0.834666667
0.23,0.704
0.342,0.789333333
0.342,0.794666667
0.148,0.816816817
0.188,0.786786787
0.261333333,0.486
0.152,0.414
0.138666667,0.244
0.234666667,0.31
0.189333333,0.338
0.194666667,0.406
0.408,0.196
0.157333333,0.218
0.128,0.064
0.138666667,0.106
0.181333333,0.112
0.162666667,0.228
0.042,0.195512821
0.052,0.189102564
0.426,0.962666667
0.164,0.730666667
0.146,0.565333333
0.232,0.96
0.394666667,0.922
0.458,0.786666667
0.414,0.650666667
0.245333333,0.198
0.6,0.765395894
0.392,0.862170088
0.331210191,0.863829787
0.407643312,0.931914894
0.640127389,0.880851064
0.354,0.730666667
0.466,0.989333333
0.164,0.72
0.22,0.557333333
0.87,0.993993994
0.448,0.720720721
0.548,0.973053892
0.254,0.553892216
0.218,0.418666667
0.094,0.261333333
0.17,0.288
0.18,0.274666667
0.156,0.24
0.108,0.282666667
0.114,0.266666667
0.228,0.330666667
0.116,0.210666667
0.068,0.168
0.114,0.186666667
0.07,0.394666667
0.046,0.235087719
0.944223108,0.602
0.388,0.526946108
0.604,0.845333333
0.12,0.349333333
0.627627628,0.536
0.522666667,0.628
0.3,0.629333333
0.312,0.653333333
0.14,0.426666667
0.062,0.386666667
0.27,0.434083601
0.590551181,0.848
0.30183727,0.416
0.07,0.216346154
0.14375,0.437106918
0.248,0.346666667
0.438,0.56
0.202,0.744
0.188,0.746666667
0.262,0.557333333
0.35,0.792
0.07,0.192
0.061333333,0.148
0.056,0.14
0.552,0.578
0.992424242,0.996
0.632,0.952
0.362666667,0.794
0.1,0.126126126
0.078,0.111111111
0.166,0.451807229
0.168,0.430722892
0.154,0.418674699
0.166,0.385542169
0.178,0.318
0.112,0.27
0.468,0.95
0.284,0.932
0.164,0.536
0.522,0.826666667
0.154,0.32
0.284,0.864864865
0.11,0.277333333
0.606606607,0.66
0.432,0.957333333
0.822289157,0.738
0.532,0.780780781
0.22,0.381381381
0.544,0.84984985
0.064,0.489489489
0.102,0.285285285
0.318,0.792
0.352,0.773333333
0.382,0.818666667
0.174,0.328
